reaction_id	module	type	mechanism	reactants	products	modifiers	pmid	evidence_code	ssc_relevance	notes
ssc_M1_001	M1	catalysis	cGAS senses cytosolic dsDNA, produces second messenger cGAMP	dsDNA__cyto	cGAMP__cyto	MB21D1__cyto	23258413	ECO:0000314	cytosolic DNA sensing — driver of type-I IFN in SSc skin keratinocytes/fibroblasts	Sun et al 2013 cGAS discovery
ssc_M1_002	M1	state_change	cGAMP binds STING (TMEM173) and triggers ER-to-Golgi trafficking + dimerisation	cGAMP__cyto;TMEM173__cyto	TMEM173_active__er		22094255	ECO:0000314	STING axis activation; targeted by emerging STING inhibitors in SSc trials	-
ssc_M1_003	M1	phosphorylation	TMEM173_active recruits and activates TBK1, which phosphorylates IRF3	TMEM173_active__er	IRF3_p__nuc	TBK1__cyto	22810585	ECO:0000314	IRF3 nuclear translocation downstream of STING	-
ssc_M1_004	M1	transcription	Phospho-IRF3 induces IFN-β1 transcription	IRF3_p__nuc	IFNB1__ext	IRF3_p__nuc	11402134	ECO:0000314	IFN-β output of cGAS-STING — drives canonical IFN signature in SSc skin	-
ssc_M1_005	M1	state_change	Endosomal dsRNA activates TLR3, which signals via TRIF (TICAM1) to phosphorylate IRF7	TLR3__endo;TICAM1__cyto	IRF7_p__nuc		14528265	ECO:0000270	endosomal nucleic-acid sensing; relevant to autoAb-immune-complex internalisation	co-author upgrade PMID
ssc_M1_006	M1	state_change	TLR7/8/9 endosomal sensing activates IRF7 via MyD88	TLR7__endo;TLR9__endo	IRF7_p__nuc		15728479	ECO:0000270	TLR7/9 single-stranded nucleic acid sensing; SSc autoAb-driven	co-author upgrade
ssc_M1_007	M1	transcription	Phospho-IRF7 induces IFN-α (IFNA1) transcription	IRF7_p__nuc	IFNA1__ext	IRF7_p__nuc	11442765	ECO:0000314	IFN-α amplification loop in SSc plasmacytoid DC	-
ssc_M1_008	M1	binding	RIG-I (DDX58) senses cytosolic dsRNA, recruits MAVS at mitochondrial outer membrane	DDX58__cyto;MAVS__cyto	DDX58_MAVS__mito		15208629	ECO:0000353	cytosolic RNA sensing branch; relevant for endogenous RNA-driven IFN	-
ssc_M1_009	M1	phosphorylation	DDX58:MAVS complex activates IKBKE, which phosphorylates IRF3	DDX58_MAVS__mito	IRF3_p__nuc	IKBKE__cyto	17601859	ECO:0000314	RIG-I/MAVS IFN induction	-
ssc_M1_010	M1	activation	CXCL4 (PF4) primes plasmacytoid dendritic cells, amplifies IFN-α production	CXCL4__ext	pDC_activated__cell		24382179	ECO:0000314	Van Bon 2014 NEJM — flagship SSc-specific biomarker; stratifies severity	-
