donor_id	group	dataset	tissue	M1	M2	M3	M4	M5	ssc_tier1
Ctrl001	HC	gse195452	skin_gur	0.4582	0.0597	-0.1438	-0.1438	-0.1438	-0.1438
Ctrl003	HC	gse195452	skin_gur	0.5702	-0.0631	-0.2588	-0.1617	-0.0488	-0.1191
Ctrl006	HC	gse195452	skin_gur	0.2291	0.0659	-0.1892	-0.0531	-0.3253	0.0167
Ctrl008	HC	gse195452	skin_gur	0.2503	-0.0263	-0.1923	0.0386	-0.1923	-0.0183
Ctrl009	HC	gse195452	skin_gur	-0.0716	-0.0716	-0.0716	0.5386	-0.0716	-0.0716
Ctrl010	HC	gse195452	skin_gur	0.071	-0.2062	-0.2062	0.0322	-0.2062	0.1836
Ctrl011	HC	gse195452	skin_gur	0.3562	-0.1612	-0.1612	-0.1612	-0.1612	0.0415
Ctrl012	HC	gse195452	skin_gur	0.2212	-0.0137	-0.0868	-0.0868	-0.2539	0.0162
Ctrl013	HC	gse195452	skin_gur	0.6395	-0.0649	-0.2724	0.0318	0.2168	-0.2911
Ctrl017	HC	gse195452	skin_gur	0.3667	0.0364	-0.1618	0.114	-0.1618	-0.1618
Ctrl018	HC	gse195452	skin_gur	-0.0083	-0.2435	-0.2435	-0.0594	0.7789	0.0322
Ctrl019	HC	gse195452	skin_gur	0.3164	-0.1976	-0.0781	-0.2051	0.0718	0.0114
Ctrl020	HC	gse195452	skin_gur	0.234	-0.1103	-0.1634	0.0142	0.105	-0.0431
Ctrl021	HC	gse195452	skin_gur	0.5884	-0.2433	-0.2433	-0.0601	0.2523	-0.1635
Ctrl022	HC	gse195452	skin_gur	0.2155	-0.1273	-0.0493	-0.0163	-0.1167	0.0021
Ctrl023	HC	gse195452	skin_gur	0.3683	-0.0583	-0.2058	-0.0006	-0.2058	-0.046
Ctrl024	HC	gse195452	skin_gur	0.3183	-0.0716	-0.0716	-0.0716	-0.0716	-0.0716
Ctrl029	HC	gse195452	skin_gur	-0.0881	0.0759	0.0066	0.1914	-0.2193	0.0021
Ctrl030	HC	gse195452	skin_gur	0.0852	-0.1672	-0.1516	0.011	0.3158	-0.0515
HD1	HC	gse210395	pbmc	0.3852	0.137	-0.1503	-0.339	0.8918	-0.3623
HD2	HC	gse210395	pbmc	0.5359	0.0837	-0.1975	-0.3777	1.0399	-0.4332
HD3	HC	gse210395	pbmc	0.7148	0.0291	-0.2589	-0.4338	0.9646	-0.4383
HD4	HC	gse210395	pbmc	0.389	0.1458	-0.1754	-0.3119	0.8751	-0.3669
SSc1	SSc	gse210395	pbmc	0.492	0.089	-0.1728	-0.3886	0.9824	-0.3886
SSc2	SSc	gse210395	pbmc	0.6425	0.0766	-0.2136	-0.4028	1.0292	-0.4541
SSc3	SSc	gse210395	pbmc	0.4908	0.1073	-0.1485	-0.3053	1.0126	-0.4343
SSc4	SSc	gse210395	pbmc	0.5086	0.0593	-0.2184	-0.3829	1.0782	-0.4067
pt01001	SSc	gse195452	skin_gur	-0.0215	-0.0021	-0.1772	-0.1772	0.5473	-0.0021
pt01004	SSc	gse195452	skin_gur	0.309	0.0705	-0.219	-0.219	-0.219	0.01
pt01005	SSc	gse195452	skin_gur	0.382	0.1229	-0.2089	-0.116	0.104	-0.2161
pt01006	SSc	gse195452	skin_gur	0.3428	0.0809	-0.1354	-0.1196	-0.37	-0.0797
pt01007	SSc	gse195452	skin_gur	-0.0716	-0.0716	-0.0716	-0.0716	-0.0716	0.1477
pt01009	SSc	gse195452	skin_gur	0.2932	0.1059	-0.4217	-0.1739	0.4834	-0.1688
pt01010	SSc	gse195452	skin_gur	0.3134	-0.1776	-0.1776	-0.1776	-0.1776	0.0901
pt01011	SSc	gse195452	skin_gur	0.1698	-0.0585	-0.2192	0.0044	0.0554	-0.0733
pt01013	SSc	gse195452	skin_gur	-0.0587	0.1996	-0.0849	0.0877	-0.0065	-0.0619
pt01014	SSc	gse195452	skin_gur	0.4326	-0.293	-0.1125	-0.1041	0.6854	-0.1931
pt01020	SSc	gse195452	skin_gur	0.2674	-0.1842	-0.1464	0.014	0.1038	-0.0335
pt01021	SSc	gse195452	skin_gur	0.2686	0.0768	-0.056	0.0771	0.244	-0.2499
pt01022	SSc	gse195452	skin_gur	0.1136	-0.2963	-0.1499	0.1989	0.7178	-0.1194
pt01023	SSc	gse195452	skin_gur	0.0887	-0.0476	-0.263	0.1866	-0.263	0.1292
pt01024	SSc	gse195452	skin_gur	0.6028	-0.1344	-0.3602	-0.1188	0.0684	-0.1058
pt01025	SSc	gse195452	skin_gur	0.4068	-0.2226	-0.1162	-0.2147	0.598	-0.1728
pt01026	SSc	gse195452	skin_gur	0.1339	-0.0604	0.046	-0.1295	0.1636	-0.0541
pt01027	SSc	gse195452	skin_gur	0.3052	0.0829	-0.2219	-0.135	0.1178	-0.1102
pt01029	SSc	gse195452	skin_gur	0.6023	-0.2752	-0.2271	-0.1971	0.312	-0.1248
